protocol_mode,packet_direction,packet_name
init,upstream,handshake
play,downstream,bundle_delimiter
play,downstream,add_entity
play,downstream,add_experience_orb
play,downstream,animate
play,downstream,award_stats
play,downstream,block_changed_ack
play,downstream,block_destruction
play,downstream,block_entity_data
play,downstream,block_event
play,downstream,block_update
play,downstream,boss_event
play,downstream,change_difficulty
play,downstream,chunk_batch_finished
play,downstream,chunk_batch_start
play,downstream,chunks_biomes
play,downstream,clear_titles
play,downstream,command_suggestions
play,downstream,commands
play,downstream,container_close
play,downstream,container_set_content
play,downstream,container_set_data
play,downstream,container_set_slot
play,downstream,cookie_request
play,downstream,cooldown
play,downstream,custom_chat_completions
play,downstream,custom_payload
play,downstream,damage_event
play,downstream,debug_sample
play,downstream,delete_chat
play,downstream,disconnect
play,downstream,disguised_chat
play,downstream,entity_event
play,downstream,entity_position_sync
play,downstream,explode
play,downstream,forget_level_chunk
play,downstream,game_event
play,downstream,horse_screen_open
play,downstream,hurt_animation
play,downstream,initialize_border
play,downstream,keep_alive
play,downstream,level_chunk_with_light
play,downstream,level_event
play,downstream,level_particles
play,downstream,light_update
play,downstream,login
play,downstream,map_item_data
play,downstream,merchant_offers
play,downstream,pos
play,downstream,pos_rot
play,downstream,move_minecart
play,downstream,rot
play,downstream,move_vehicle
play,downstream,open_book
play,downstream,open_screen
play,downstream,open_sign_editor
play,downstream,ping
play,downstream,pong_response
play,downstream,place_ghost_recipe
play,downstream,player_abilities
play,downstream,player_chat
play,downstream,player_combat_end
play,downstream,player_combat_enter
play,downstream,player_combat_kill
play,downstream,player_info_remove
play,downstream,player_info_update
play,downstream,player_look_at
play,downstream,player_position
play,downstream,player_rotation
play,downstream,recipe_book_add
play,downstream,recipe_book_remove
play,downstream,recipe_book_settings
play,downstream,remove_entities
play,downstream,remove_mob_effect
play,downstream,reset_score
play,downstream,resource_pack_pop
play,downstream,resource_pack_push
play,downstream,respawn
play,downstream,rotate_head
play,downstream,section_blocks_update
play,downstream,select_advancements_tab
play,downstream,server_data
play,downstream,set_action_bar_text
play,downstream,set_border_center
play,downstream,set_border_lerp_size
play,downstream,set_border_size
play,downstream,set_border_warning_delay
play,downstream,set_border_warning_distance
play,downstream,set_camera
play,downstream,set_chunk_cache_center
play,downstream,set_chunk_cache_radius
play,downstream,set_cursor_item
play,downstream,set_default_spawn_position
play,downstream,set_display_objective
play,downstream,set_entity_data
play,downstream,set_entity_link
play,downstream,set_entity_motion
play,downstream,set_equipment
play,downstream,set_experience
play,downstream,set_health
play,downstream,set_held_slot
play,downstream,set_objective
play,downstream,set_passengers
play,downstream,set_player_inventory
play,downstream,set_player_team
play,downstream,set_score
play,downstream,set_simulation_distance
play,downstream,set_subtitle_text
play,downstream,set_time
play,downstream,set_title_text
play,downstream,set_titles_animation
play,downstream,sound_entity
play,downstream,sound
play,downstream,start_configuration
play,downstream,stop_sound
play,downstream,store_cookie
play,downstream,system_chat
play,downstream,tab_list
play,downstream,tag_query
play,downstream,take_item_entity
play,downstream,teleport_entity
play,downstream,ticking_state
play,downstream,ticking_step
play,downstream,transfer
play,downstream,update_advancements
play,downstream,update_attributes
play,downstream,update_mob_effect
play,downstream,update_recipes
play,downstream,update_tags
play,downstream,projectile_power
play,downstream,custom_report_details
play,downstream,server_links
play,upstream,accept_teleportation
play,upstream,block_entity_tag_query
play,upstream,select_bundle_item
play,upstream,change_difficulty
play,upstream,chat_ack
play,upstream,chat_command
play,upstream,chat_command_signed
play,upstream,chat
play,upstream,chat_session_update
play,upstream,chunk_batch_received
play,upstream,client_command
play,upstream,client_tick_end
play,upstream,client_information
play,upstream,command_suggestion
play,upstream,configuration_acknowledged
play,upstream,container_button_click
play,upstream,container_click
play,upstream,container_close
play,upstream,container_slot_state_changed
play,upstream,cookie_response
play,upstream,custom_payload
play,upstream,debug_sample_subscription
play,upstream,edit_book
play,upstream,entity_tag_query
play,upstream,interact
play,upstream,jigsaw_generate
play,upstream,keep_alive
play,upstream,lock_difficulty
play,upstream,pos
play,upstream,pos_rot
play,upstream,rot
play,upstream,status_only
play,upstream,move_vehicle
play,upstream,paddle_boat
play,upstream,pick_item_from_block
play,upstream,pick_item_from_entity
play,upstream,ping_request
play,upstream,place_recipe
play,upstream,player_abilities
play,upstream,player_action
play,upstream,player_command
play,upstream,player_input
play,upstream,player_loaded
play,upstream,pong
play,upstream,recipe_book_change_settings
play,upstream,recipe_book_seen_recipe
play,upstream,rename_item
play,upstream,resource_pack
play,upstream,seen_advancements
play,upstream,select_trade
play,upstream,set_beacon
play,upstream,set_carried_item
play,upstream,set_command_block
play,upstream,set_command_minecart
play,upstream,set_creative_mode_slot
play,upstream,set_jigsaw_block
play,upstream,set_structure_block
play,upstream,sign_update
play,upstream,swing
play,upstream,teleport_to_entity
play,upstream,use_item_on
play,upstream,use_item
status,downstream,status_response
status,downstream,status_pong
status,upstream,status_request
status,upstream,status_ping
login,downstream,login_disconnect
login,downstream,login_encryption_request
login,downstream,login_success
login,downstream,login_set_compression
login,downstream,login_plugin_request
login,upstream,login_start
login,upstream,login_encryption_response
login,upstream,login_plugin_response
login,upstream,login_acknowledged